"ts_code","sub_code","name","ipo_date","issue_date","amount","market_amount","price","pe","limit_amount","funds","ballot"
"002208.SZ","2208.0","合肥城建","20080117.0","20080128","2670.0","2136.0","15.6","26.55","2136.0","4.1652","0.04"
"002209.SZ","2209.0","达意隆","20080121.0","20080130","2900.0","2320.0","4.24","29.95","2320.0","1.2296","0.07"
"002210.SZ","2210.0","飞马国际","20080121.0","20080130","3500.0","2800.0","7.79","29.96","2800.0","2.7265","0.1"
"002211.SZ","2211.0","宏达新材","20080123.0","20080201","6100.0","4880.0","10.49","29.97","4880.0","6.3989","0.33"
"002212.SZ","2212.0","南洋股份","20080122.0","20080201","3800.0","3040.0","15.12","26.41","3040.0","5.7456","0.05"
"002213.SZ","2213.0","特尔佳","20080122.0","20080201","2600.0","2080.0","4.7","29.94","2080.0","1.222","0.04"
"002214.SZ","2214.0","大立科技","20080128.0","20080218","2500.0","2000.0","6.8","29.96","2000.0","1.7","0.21"
"002215.SZ","2215.0","诺普信","20080128.0","20080218","3000.0","2400.0","9.95","19.56","2400.0","2.985","0.25"
"002216.SZ","2216.0","三全食品","20080130.0","20080220","2350.0","1880.0","21.59","29.99","1880.0","5.0737","0.04"
"002217.SZ","2217.0","联合化工","20080131.0","20080220","3100.0","2480.0","11.39","29.97","2480.0","3.5309","0.05"
"002218.SZ","2218.0","拓日新能","20080213.0","20080228","4000.0","3200.0","10.79","29.97","3200.0","4.316","0.03"
"002219.SZ","2219.0","独一味","20080221.0","20080306","2340.0","1872.0","6.18","29.97","1872.0","1.4461","0.01"
"002220.SZ","2220.0","天宝股份","20080215.0","20080228","1800.0","1440.0","17.07","27.71","1440.0","3.0726","0.05"
"002221.SZ","2221.0","东华能源","20080222.0","20080306","5600.0","4480.0","5.69","29.95","4480.0","3.1864","0.12"
"002222.SZ","2222.0","福晶科技","20080305.0","20080319","4750.0","3800.0","7.79","29.96","3800.0","3.7003","0.02"
"002223.SZ","2223.0","鱼跃医疗","20080408.0","20080418","2600.0","2080.0","9.48","29.08","2080.0","2.4648","0.08"
"002224.SZ","2224.0","三力士","20080415.0","20080425","1900.0","1520.0","9.38","29.31","1520.0","1.7822","0.12"
"002225.SZ","2225.0","濮耐股份","20080415.0","20080425","6000.0","4800.0","4.79","29.94","4800.0","2.874","0.09"
"002226.SZ","2226.0","江南化工","20080422.0","20080506","1350.0","1080.0","12.6","26.81","1080.0","1.701","0.07"
"002227.SZ","2227.0","奥特迅","20080422.0","20080506","2750.0","2200.0","14.37","28.74","2200.0","3.9518","0.05"
"002228.SZ","2228.0","合兴包装","20080422.0","20080508","2500.0","2000.0","10.15","29.85","2000.0","2.5375","0.08"
"002229.SZ","2229.0","鸿博股份","20080422.0","20080508","2000.0","1600.0","13.88","23.53","1600.0","2.776","0.07"
"002230.SZ","2230.0","科大讯飞","20080425.0","20080512","2680.0","2144.0","12.66","29.98","2144.0","3.3929","0.04"
"002231.SZ","2231.0","奥维通信","20080425.0","20080512","2700.0","2160.0","8.46","29.17","2160.0","2.2842","0.05"
"002232.SZ","2232.0","启明信息","20080425.0","20080509","3200.0","2560.0","9.44","29.97","2560.0","3.0208","0.05"
"002233.SZ","2233.0","塔牌集团","20080506.0","20080516","10000.0","8000.0","10.03","27.93","8000.0","10.03","0.09"
"002234.SZ","2234.0","民和股份","20080506.0","20080516","2700.0","2160.0","10.61","13.78","2160.0","2.8647","0.05"
"002235.SZ","2235.0","安妮股份","20080506.0","20080516","2500.0","2000.0","10.91","29.98","2000.0","2.7275","0.12"
"002236.SZ","2236.0","大华股份","20080508.0","20080520","1680.0","1344.0","24.24","19.87","1344.0","4.0723","0.18"
"002237.SZ","2237.0","恒邦股份","20080508.0","20080520","2400.0","1920.0","25.98","25.72","1920.0","6.2352","0.2"
"002238.SZ","2238.0","天威视讯","20080512.0","20080526","6700.0","5360.0","6.98","29.96","5360.0","4.6766","0.05"
"002239.SZ","2239.0","金飞达","20080512.0","20080522","3400.0","2720.0","9.33","20.44","2720.0","3.1722","0.09"
"002240.SZ","2240.0","威华股份","20080513.0","20080523","7669.0","6135.2","15.7","28.55","6135.2","12.0403","0.16"
